id,goal_fx.GBP,equity_offered,pre_money_valuation,raised_fx.GBP,funders,percentage_raised,,
1,15000,20,60000,15000,22,100,,
2,25000,25,75000,25000,12,100,,
3,19750,20,79000,19750,21,100,,
4,15000,15,85000,15000,12,100,,
5,35000,25,105000,35000,45,100,,
6,56450,29,138205.1724,56450,30,100,,
7,25000,15,141666.6667,25000,68,100,,
8,25000,15,141666.6667,25000,20,100,,
9,35000,15,198333.3333,35000,23,100,,
10,50000,20,200000,50000,1,100,,
11,100000,33,203030.303,100000,29,100,,
12,55000,20,220000,55000,34,100,,
13,30000,10,270000,30000,36,100,,
14,49750,15,281916.6667,49750,26,100,,
15,12000,4,288000,12000,58,100,,
16,250000,45,305555.5556,250000,44,100,,
17,49000,12,359333.3333,49000,40,100,,
18,91760,18.9,393742.6455,91760,74,100,,
19,100000,20,400000,100000,64,100,,
20,100000,20,400000,100000,63,100,,
21,75000,15,425000,75000,82,100,,
22,75000,15,425000,75000,82,100,,
23,23000,5,437000,23000,7,100,,
24,42750,8.76,445263.6986,42750,44,100,,
25,159960,26.18,451040.7639,159960,38,100,,
26,135550,22.5,466894.4444,135550,110,100,,
27,179310,27.8,467482.0144,179310,292,100,,
28,141460,20,565840,141460,82,100,,
29,56950,8.79,590945.3356,56950,50,100,,
30,150000,20,600000,150000,71,100,,
31,180000,23,602608.6957,180000,85,100,,
32,100000,14,614285.7143,100000,1,100,,
33,45360,6.3,674640,45360,54,100,,
34,37450,5.2,682742.3077,37450,27,100,,
35,249000,25,747000,249000,49,100,,
36,132630,14,814727.1429,132630,61,100,,
37,126850,12.7,871968.8976,126850,113,100,,
38,97490,10,877410,97490,49,100,,
39,168140,16.5,885201.2121,168140,59,100,,
40,169849,15.4,933066.5844,169849,45,100,,
41,49820,5,946580,49820,32,100,,
42,243860,20,975440,243860,44,100,,
43,125000,11,1011363.636,125000,64,100,,
44,149089,12.5,1043623,149089,72,100,,
45,150000,12.5,1050000,150000,69,100,,
46,150000,12,1100000,150000,42,100,,
47,50000,4,1200000,50000,122,100,,
48,33620,2.64,1239864.848,33620,59,100,,
49,325000,20,1300000,325000,64,100,,
50,100000,7,1328571.429,100000,34,100,,
51,149990,10,1349910,149990,77,100,,
52,150000,10,1350000,150000,37,100,,
53,182400,12.5,1400000,182400,143,100,,
54,180000,10,1620000,180000,35,100,,
55,148830,8.08,1706435.644,148830,82,100,,
56,600000,24,1900000,600000,394,100,,
57,220240,10.31,1915938.468,220240,203,100,,
58,156410,7.4,1957238.649,156410,127,100,,
59,249500,10,2245500,249500,119,100,,
60,112530,5.26,2251425.856,112530,111,100,,
61,998620,28.5,2505309.825,998620,42,100,,
62,319950,9,3235050,319950,163,100,,
63,486270,10,4376430,486270,346,100,,
64,291380,6,4564953.333,291380,172,100,,
65,269900,5.78,4890311.419,269900,139,100,,
66,484620,8.1,5498342.963,484620,148,100,,
67,1000000,10,9000000,1000000,143,100,,
68,500000,5,9500000,500000,70,100,,
69,1836400,15.6,9935394.872,1836400,80,100,,
70,500000,4.61,10345986.98,500000,73,100,,
71,5000000,25.64,14500780.03,5000000,146,100,,
72,929610,5,17662590,929610,199,100,,
73,57500,23.24,189918.2444,57600,51,100.173913,,
74,75000,30,175000,75230,144,100.3066667,,
75,150000,10,1350000,150520,142,100.3466667,,
76,122950,30,286883.3333,123450,59,100.4066694,,
77,300000,20,1200000,303340,185,101.1133333,,
78,50000,4.76,1000420.168,50610,72,101.22,,
79,100000,20,400000,101230,47,101.23,,
80,500000,13.72,3144314.869,507375,240,101.475,,
81,200000,10.14,1772386.588,203010,43,101.505,,
82,150000,6.81,2052643.172,152650,61,101.7666667,,
83,100000,20.36,391159.1356,102230,107,102.23,,
84,300000,23.08,999826.6898,306950,93,102.3166667,,
85,225000,15.36,1239843.75,231340,209,102.8177778,,
86,700000,16.7,3491616.766,721580,85,103.0828571,,
87,200000,10.28,1745525.292,206300,134,103.15,,
88,1900000,16.37,9706597.434,1962744,275,103.3023158,,
89,100000,13.33,650187.5469,104160,107,104.16,,
90,150000,18,683333.3333,156380,95,104.2533333,,
91,350000,17.09,1697981.276,365010,219,104.2885714,,
92,120000,24,380000,125190,82,104.325,,
93,200000,16.66,1000480.192,209830,290,104.915,,
94,150000,27.27,400055.0055,157590,36,105.06,,
95,150000,5,2850000,158750,192,105.8333333,,
96,750000,23.07,2500975.293,793870,417,105.8493333,,
97,150000,10.53,1274501.425,158890,115,105.9266667,,
98,6000000,11.27,47238686.78,6360516,149,106.0086,,
99,150000,10.68,1254494.382,159250,119,106.1666667,,
100,500000,18.18,2250275.028,532800,195,106.56,,
101,150000,25,450000,160050,57,106.7,,
102,1250000,5.32,22246240.6,1334950,298,106.796,,
103,75000,25,225000,80310,155,107.08,,
104,100000,15.9,528930.8176,107130,114,107.13,,
105,150000,15.92,792211.0553,160940,69,107.2933333,,
106,60000,6.39,878967.1362,64560,109,107.6,,
107,180000,15,1020000,195940,140,108.8555556,,
108,100000,25,300000,109350,160,109.35,,
109,150000,5.4,2627777.778,164530,65,109.6866667,,
110,400000,20,1600000,439060,157,109.765,,
111,500000,12.56,3480891.72,549020,298,109.804,,
112,2000000,5.49,34429872.5,2196870,911,109.8435,,
113,260000,13.55,1658819.188,286630,270,110.2423077,,
114,360000,20.4,1404705.882,398330,160,110.6472222,,
115,120000,13.14,793242.0091,133120,105,110.9333333,,
116,180000,19.6,738367.3469,199950,94,111.0833333,,
117,50000,9.15,496448.0874,55620,55,111.24,,
118,150000,13.21,985503.4065,167440,209,111.6266667,,
119,130000,21.87,464421.5821,145560,132,111.9692308,,
120,250000,25.06,747605.7462,279950,229,111.98,,
121,150000,25,450000,168170,106,112.1133333,,
122,160000,12.5,1120000,179850,131,112.40625,,
123,150000,3.75,3850000,168630,80,112.42,,
124,250000,16.5,1265151.515,282350,229,112.94,,
125,180000,14.45,1065674.74,203540,131,113.0777778,,
126,100000,10,900000,113650,103,113.65,,
127,450000,23.45,1468976.546,514110,219,114.2466667,,
128,400000,23.41,1308671.508,459840,325,114.96,,
129,120000,7.75,1428387.097,138350,121,115.2916667,,
130,250000,17.62,1168842.225,288560,270,115.424,,
131,50000,5,950000,57780,52,115.56,,
132,500000,4.48,10660714.29,578340,379,115.668,,
133,250000,5,4750000,289960,100,115.984,,
134,50000,30,116666.6667,58120,72,116.24,,
135,65000,15.12,364894.1799,76170,148,117.1846154,,
136,60000,7,797142.8571,70320,84,117.2,,
137,150000,15.79,799968.3344,176590,156,117.7266667,,
138,100000,13.64,633137.8299,118160,92,118.16,,
139,80000,10,720000,94740,85,118.425,,
140,95000,17.3,454132.948,112600,144,118.5263158,,
141,150000,17.48,708123.5698,178800,166,119.2,,
142,100000,10,900000,119450,95,119.45,,
143,150000,23.05,500759.2191,179690,87,119.7933333,,
144,100000,40,150000,120000,130,120,,
145,100000,19.35,416795.8656,120000,81,120,,
146,400000,15,2266666.667,484350,86,121.0875,,
147,120000,20,480000,145610,70,121.3416667,,
148,200000,10,1800000,243190,309,121.595,,
149,65000,20,260000,79510,101,122.3230769,,
150,100000,5.77,1633102.253,122550,215,122.55,,
151,75000,23.47,244556.8811,92020,77,122.6933333,,
152,250000,12.05,1824688.797,308180,367,123.272,,
153,100000,15,566666.6667,124320,116,124.32,,
154,100000,18,455555.5556,124390,110,124.39,,
155,105000,16,551250,130640,128,124.4190476,,
156,200000,20,800000,249080,117,124.54,,
157,120000,25,360000,149480,124,124.5666667,,
158,500000,13.91,3094536.305,623230,235,124.646,,
159,100000,20,400000,124910,103,124.91,,
160,173170,24.21,542112.9409,216460,132,124.9985563,,
161,250000,7.86,2930661.578,316340,76,126.536,,
162,550000,45,672222.2222,700000,101,127.2727273,,
163,325000,20,1300000,414000,109,127.3846154,,
164,200000,14.29,1199580.126,256520,174,128.26,,
165,175000,15,991666.6667,224650,46,128.3714286,,
166,20000,20,80000,25690,44,128.45,,
167,750000,12.53,5235634.477,967130,392,128.9506667,,
168,250000,11.12,1998201.439,322740,136,129.096,,
169,72000,5.54,1227638.989,93080,142,129.2777778,,
170,50000,12.58,347456.2798,64760,99,129.52,,
171,150000,21.08,561574.9526,195590,157,130.3933333,,
172,125000,22.5,430555.5556,163000,23,130.4,,
173,85000,12.89,574425.9116,111050,148,130.6470588,,
174,56730,17.84,261263.2735,74550,92,131.4119513,,
175,120000,12.76,820438.8715,157940,98,131.6166667,,
176,800000,7.06,10531444.76,1054110,258,131.76375,,
177,1000000,4.76,20008403.36,1317900,912,131.79,,
178,125000,24.81,378829.1012,165020,228,132.016,,
179,140000,18.55,614716.9811,184990,95,132.1357143,,
180,150000,9,1516666.667,199480,103,132.9866667,,
181,150000,15,850000,200000,67,133.3333333,,
182,300000,15,1700000,401220,426,133.74,,
183,1150000,33.79,2253373.779,1542660,293,134.1443478,,
184,350000,19.5,1444871.795,472570,267,135.02,,
185,750000,9.09,7500825.083,1013920,492,135.1893333,,
186,1000000,2.03,48261083.74,1358680,376,135.868,,
187,100000,4,2400000,135900,120,135.9,,
188,600000,6.63,8449773.756,816790,109,136.1316667,,
189,100000,20,400000,136390,121,136.39,,
190,100000,13.33,650187.5469,137390,59,137.39,,
191,130000,20.28,511025.641,178900,144,137.6153846,,
192,150000,19.64,613747.4542,207720,92,138.48,,
193,50000,7.55,612251.6556,69400,59,138.8,,
194,40000,19.79,162122.284,55920,64,139.8,,
195,120000,6.48,1731851.852,168260,179,140.2166667,,
196,250000,15.75,1337301.587,350770,133,140.308,,
197,75000,8.06,855521.0918,105610,116,140.8133333,,
198,180000,30.79,404605.3914,253540,244,140.8555556,,
199,1500000,7.9,17487341.77,2112916,481,140.8610667,,
200,25000,14,153571.4286,35380,8,141.52,,
201,100000,13.65,632600.7326,142270,135,142.27,,
202,300000,15,1700000,427580,100,142.5266667,,
203,150000,10,1350000,215470,153,143.6466667,,
204,100000,15,566666.6667,144340,60,144.34,,
205,100000,19.58,410725.2298,146030,126,146.03,,
206,175000,8,2012500,257080,362,146.9028571,,
207,75000,14.09,457292.406,110730,125,147.64,,
208,100000,19.76,406072.8745,148780,87,148.78,,
209,100000,18.2,449450.5495,148890,81,148.89,,
210,100000,14.29,599790.063,149790,124,149.79,,
211,300000,27.25,800917.4312,449570,243,149.8566667,,
212,100000,25,300000,150000,19,150,,
213,80000,10.72,666268.6567,120000,92,150,,
214,1000000,14,6142857.143,1500000,262,150,,
215,100000,24.1,314937.7593,150170,159,150.17,,
216,275000,22,975000,415390,346,151.0509091,,
217,600000,9.23,5900541.712,908400,368,151.4,,
218,100000,15,566666.6667,151490,101,151.49,,
219,300000,20,1200000,454800,274,151.6,,
220,60000,15,340000,91150,112,151.9166667,,
221,80000,23.79,256275.7461,121900,184,152.375,,
222,110000,25.21,326334.7878,168570,183,153.2454545,,
223,125000,7.48,1546122.995,191910,187,153.528,,
224,75000,22.5,258333.3333,116900,121,155.8666667,,
225,90000,12.5,630000,140390,82,155.9888889,,
226,35000,21.7,126290.3226,54960,70,157.0285714,,
227,280000,26,796923.0769,440000,119,157.1428571,,
228,250000,12.27,1787489.813,395470,176,158.188,,
229,350000,10.77,2899767.874,562460,335,160.7028571,,
230,150000,10,1350000,242180,249,161.4533333,,
231,200000,12.84,1357632.399,324290,328,162.145,,
232,55000,31.41,120103.4702,89310,135,162.3818182,,
233,152000,8,1748000,248570,112,163.5328947,,
234,75000,19.47,310208.0123,124530,178,166.04,,
235,120000,24.03,379375.7803,199280,119,166.0666667,,
236,300000,25.04,898083.0671,498710,285,166.2366667,,
237,50000,14.17,302858.151,83310,106,166.62,,
238,350000,30.23,807790.2746,584870,159,167.1057143,,
239,75000,23.36,246061.6438,126550,126,168.7333333,,
240,300000,25.26,887648.4561,506911,315,168.9703333,,
241,500000,10.53,4248338.082,845620,129,169.124,,
242,100000,13,669230.7692,169270,133,169.27,,
243,70000,5,1330000,118760,177,169.6571429,,
244,50000,10,450000,85010,127,170.02,,
245,200000,15.92,1056281.407,340710,214,170.355,,
246,100000,5.56,1698561.151,171060,98,171.06,,
247,100000,14.67,581663.2584,172590,58,172.59,,
248,500000,13.33,3250937.734,864870,295,172.974,,
249,150000,17.32,716050.8083,262250,155,174.8333333,,
250,100000,19.27,418941.3596,175060,152,175.06,,
251,500000,5,9500000,876700,463,175.34,,
252,500000,23.06,1668256.722,876810,229,175.362,,
253,60000,19.04,255126.0504,105480,167,175.8,,
254,400000,6.14,6114657.98,709900,282,177.475,,
255,75000,12.32,533766.2338,134050,133,178.7333333,,
256,150000,12.7,1031102.362,269240,135,179.4933333,,
257,250000,11.5,1923913.043,454734,221,181.8936,,
258,1500000,5.37,26432960.89,2750860,2173,183.3906667,,
